get(0, 'diaryfile')

ans =

corrida14.txt

main(50, 0.9, 0.4)
58: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
59: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
60: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
61: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
62: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
63: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
64: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
65: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
66: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
67: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
68: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
69: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
70: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
71: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
72: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
73: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
74: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
75: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
76: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
77: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
78: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
79: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
80: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
81: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
82: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
83: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
84: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
85: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
86: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
87: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
88: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
89: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
90: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
91: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
92: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
93: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
94: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
95: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
96: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
97: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
98: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
99: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
100: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
101: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
102: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
103: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
104: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
105: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
106: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
107: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
108: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
109: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
110: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
111: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
112: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
113: Viorest: 6.2229e-07, aptitud: 1000.00000000000000000000, vector: 0.44537149089531497000 0.12402080827106582000 0.44537086860644648000 0.3924049487718424000017.56358657759482600000
114: Viorest: 6.2229e-07, aptitud: 1000.00000000000000000000, vector: 0.44537149089531497000 0.12402080827106582000 0.44537086860644648000 0.3924049487718424000017.56358657759482600000
