main(50, 0.9, 0.4)
40: Viorest: 1.0113e-05, aptitud: 1000.00000000000000000000, vector: 0.25933042997507139000 0.07730958286660817600 0.40375956785350031000 0.4037696805587682200023.92534641625604100000
41: Viorest: 1.0113e-05, aptitud: 1000.00000000000000000000, vector: 0.25933042997507139000 0.07730958286660817600 0.40375956785350031000 0.4037696805587682200023.92534641625604100000
42: Viorest: 1.0113e-05, aptitud: 1000.00000000000000000000, vector: 0.25933042997507139000 0.07730958286660817600 0.40375956785350031000 0.4037696805587682200023.92534641625604100000
43: Viorest: 1.0113e-05, aptitud: 1000.00000000000000000000, vector: 0.25933042997507139000 0.07730958286660817600 0.40375956785350031000 0.4037696805587682200023.92534641625604100000
44: Viorest: 1.0113e-05, aptitud: 1000.00000000000000000000, vector: 0.25933042997507139000 0.07730958286660817600 0.40375956785350031000 0.4037696805587682200023.92534641625604100000
45: Viorest: 1.0113e-05, aptitud: 1000.00000000000000000000, vector: 0.25933042997507139000 0.07730958286660817600 0.40375956785350031000 0.4037696805587682200023.92534641625604100000
46: Viorest: 1.0113e-05, aptitud: 1000.00000000000000000000, vector: 0.25933042997507139000 0.07730958286660817600 0.40375956785350031000 0.4037696805587682200023.92534641625604100000
47: Viorest: 1.0113e-05, aptitud: 1000.00000000000000000000, vector: 0.25933042997507139000 0.07730958286660817600 0.40375956785350031000 0.4037696805587682200023.92534641625604100000
48: Viorest: 1.0113e-05, aptitud: 1000.00000000000000000000, vector: 0.25933042997507139000 0.07730958286660817600 0.40375956785350031000 0.4037696805587682200023.92534641625604100000
49: Viorest: 1.0113e-05, aptitud: 1000.00000000000000000000, vector: 0.25933042997507139000 0.07730958286660817600 0.40375956785350031000 0.4037696805587682200023.92534641625604100000
50: Viorest: 1.0113e-05, aptitud: 1000.00000000000000000000, vector: 0.25933042997507139000 0.07730958286660817600 0.40375956785350031000 0.4037696805587682200023.92534641625604100000
51: Viorest: 1.0113e-05, aptitud: 1000.00000000000000000000, vector: 0.25933042997507139000 0.07730958286660817600 0.40375956785350031000 0.4037696805587682200023.92534641625604100000
52: Viorest: 1.0113e-05, aptitud: 1000.00000000000000000000, vector: 0.25933042997507139000 0.07730958286660817600 0.40375956785350031000 0.4037696805587682200023.92534641625604100000
53: Viorest: 1.0113e-05, aptitud: 1000.00000000000000000000, vector: 0.25933042997507139000 0.07730958286660817600 0.40375956785350031000 0.4037696805587682200023.92534641625604100000
54: Viorest: 1.0113e-05, aptitud: 1000.00000000000000000000, vector: 0.25933042997507139000 0.07730958286660817600 0.40375956785350031000 0.4037696805587682200023.92534641625604100000
55: Viorest: 2.4291e-06, aptitud: 1000.00000000000000000000, vector: 0.135511548363220880000.094273275206065266000.168726795536018910000.168729224683026010002.27687998782693770000
56: Viorest: 2.4291e-06, aptitud: 1000.00000000000000000000, vector: 0.135511548363220880000.094273275206065266000.168726795536018910000.168729224683026010002.27687998782693770000
57: Viorest: 2.4291e-06, aptitud: 1000.00000000000000000000, vector: 0.135511548363220880000.094273275206065266000.168726795536018910000.168729224683026010002.27687998782693770000
