main(50, 0.9, 0.4)
56: Viorest: 3.66e-05, aptitud: 1000.00000000000000000000, vector: 0.29943605805833018000  0.28717246269503516000  0.49603924875335564000  0.48373905346243695000-35.71593478998005400000 , tt: 45.1526
57: Viorest: 3.66e-05, aptitud: 1000.00000000000000000000, vector: 0.29943605805833018000  0.28717246269503516000  0.49603924875335564000  0.48373905346243695000-35.71593478998005400000 , tt: 46.3919
58: Viorest: 3.66e-05, aptitud: 1000.00000000000000000000, vector: 0.29943605805833018000  0.28717246269503516000  0.49603924875335564000  0.48373905346243695000-35.71593478998005400000 , tt: 47.4269
59: Viorest: 3.66e-05, aptitud: 1000.00000000000000000000, vector: 0.29943605805833018000  0.28717246269503516000  0.49603924875335564000  0.48373905346243695000-35.71593478998005400000 , tt: 48.3352
60: Viorest: 3.66e-05, aptitud: 1000.00000000000000000000, vector: 0.29943605805833018000  0.28717246269503516000  0.49603924875335564000  0.48373905346243695000-35.71593478998005400000 , tt: 49.4388
61: Viorest: 3.66e-05, aptitud: 1000.00000000000000000000, vector: 0.29943605805833018000  0.28717246269503516000  0.49603924875335564000  0.48373905346243695000-35.71593478998005400000 , tt: 50.4699
62: Viorest: 3.66e-05, aptitud: 1000.00000000000000000000, vector: 0.29943605805833018000  0.28717246269503516000  0.49603924875335564000  0.48373905346243695000-35.71593478998005400000 , tt: 51.56
63: Viorest: 3.66e-05, aptitud: 1000.00000000000000000000, vector: 0.29943605805833018000  0.28717246269503516000  0.49603924875335564000  0.48373905346243695000-35.71593478998005400000 , tt: 52.5028
64: Viorest: 3.66e-05, aptitud: 1000.00000000000000000000, vector: 0.29943605805833018000  0.28717246269503516000  0.49603924875335564000  0.48373905346243695000-35.71593478998005400000 , tt: 53.5205
65: Viorest: 3.66e-05, aptitud: 1000.00000000000000000000, vector: 0.29943605805833018000  0.28717246269503516000  0.49603924875335564000  0.48373905346243695000-35.71593478998005400000 , tt: 54.6659
66: Viorest: 3.66e-05, aptitud: 1000.00000000000000000000, vector: 0.29943605805833018000  0.28717246269503516000  0.49603924875335564000  0.48373905346243695000-35.71593478998005400000 , tt: 55.8083
67: Viorest: 3.66e-05, aptitud: 1000.00000000000000000000, vector: 0.29943605805833018000  0.28717246269503516000  0.49603924875335564000  0.48373905346243695000-35.71593478998005400000 , tt: 56.8341
68: Viorest: 3.66e-05, aptitud: 1000.00000000000000000000, vector: 0.29943605805833018000  0.28717246269503516000  0.49603924875335564000  0.48373905346243695000-35.71593478998005400000 , tt: 57.7603
69: Viorest: 3.66e-05, aptitud: 1000.00000000000000000000, vector: 0.29943605805833018000  0.28717246269503516000  0.49603924875335564000  0.48373905346243695000-35.71593478998005400000 , tt: 58.9372
70: Viorest: 3.66e-05, aptitud: 1000.00000000000000000000, vector: 0.29943605805833018000  0.28717246269503516000  0.49603924875335564000  0.48373905346243695000-35.71593478998005400000 , tt: 60.1508
71: Viorest: 3.66e-05, aptitud: 1000.00000000000000000000, vector: 0.29943605805833018000  0.28717246269503516000  0.49603924875335564000  0.48373905346243695000-35.71593478998005400000 , tt: 61.2244
72: Viorest: 1.3528e-05, aptitud: 1000.00000000000000000000, vector: 0.27921641306660822000  0.11086587324483445000  0.47468498820350113000  0.47469851654747897000-32.28389508279934700000 , tt: 62.3513
73: Viorest: 1.3528e-05, aptitud: 1000.00000000000000000000, vector: 0.27921641306660822000  0.11086587324483445000  0.47468498820350113000  0.47469851654747897000-32.28389508279934700000 , tt: 63.5786
74: Viorest: 1.3528e-05, aptitud: 1000.00000000000000000000, vector: 0.27921641306660822000  0.11086587324483445000  0.47468498820350113000  0.47469851654747897000-32.28389508279934700000 , tt: 64.7234
75: Viorest: 1.3528e-05, aptitud: 1000.00000000000000000000, vector: 0.27921641306660822000  0.11086587324483445000  0.47468498820350113000  0.47469851654747897000-32.28389508279934700000 , tt: 65.8675
76: Viorest: 1.3528e-05, aptitud: 1000.00000000000000000000, vector: 0.27921641306660822000  0.11086587324483445000  0.47468498820350113000  0.47469851654747897000-32.28389508279934700000 , tt: 66.8294
77: Viorest: 1.3528e-05, aptitud: 1000.00000000000000000000, vector: 0.27921641306660822000  0.11086587324483445000  0.47468498820350113000  0.47469851654747897000-32.28389508279934700000 , tt: 68.0983
78: Viorest: 1.3528e-05, aptitud: 1000.00000000000000000000, vector: 0.27921641306660822000  0.11086587324483445000  0.47468498820350113000  0.47469851654747897000-32.28389508279934700000 , tt: 69.1774
79: Viorest: 1.3528e-05, aptitud: 1000.00000000000000000000, vector: 0.27921641306660822000  0.11086587324483445000  0.47468498820350113000  0.47469851654747897000-32.28389508279934700000 , tt: 70.5153
80: Viorest: 1.3528e-05, aptitud: 1000.00000000000000000000, vector: 0.27921641306660822000  0.11086587324483445000  0.47468498820350113000  0.47469851654747897000-32.28389508279934700000 , tt: 71.8102
81: Viorest: 1.3528e-05, aptitud: 1000.00000000000000000000, vector: 0.27921641306660822000  0.11086587324483445000  0.47468498820350113000  0.47469851654747897000-32.28389508279934700000 , tt: 72.9785
82: Viorest: 1.3528e-05, aptitud: 1000.00000000000000000000, vector: 0.27921641306660822000  0.11086587324483445000  0.47468498820350113000  0.47469851654747897000-32.28389508279934700000 , tt: 74.4141
83: Viorest: 1.3528e-05, aptitud: 1000.00000000000000000000, vector: 0.27921641306660822000  0.11086587324483445000  0.47468498820350113000  0.47469851654747897000-32.28389508279934700000 , tt: 75.7768
84: Viorest: 1.3528e-05, aptitud: 1000.00000000000000000000, vector: 0.27921641306660822000  0.11086587324483445000  0.47468498820350113000  0.47469851654747897000-32.28389508279934700000 , tt: 77.1262
85: Viorest: 1.3528e-05, aptitud: 1000.00000000000000000000, vector: 0.27921641306660822000  0.11086587324483445000  0.47468498820350113000  0.47469851654747897000-32.28389508279934700000 , tt: 78.1087
86: Viorest: 1.3528e-05, aptitud: 1000.00000000000000000000, vector: 0.27921641306660822000  0.11086587324483445000  0.47468498820350113000  0.47469851654747897000-32.28389508279934700000 , tt: 79.3891
87: Viorest: 1.3528e-05, aptitud: 1000.00000000000000000000, vector: 0.27921641306660822000  0.11086587324483445000  0.47468498820350113000  0.47469851654747897000-32.28389508279934700000 , tt: 80.4767
88: Viorest: 1.3528e-05, aptitud: 1000.00000000000000000000, vector: 0.27921641306660822000  0.11086587324483445000  0.47468498820350113000  0.47469851654747897000-32.28389508279934700000 , tt: 81.7928
