main(40, .6, .5)
75: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
76: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
77: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
78: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
79: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
80: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
81: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
82: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
83: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
84: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
85: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
86: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
87: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
88: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
89: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
90: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
91: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
92: Viorest: 0.0001405, aptitud: 0.00000000000000000000, vector: 0.21906681672319925000 0.11688279746069988000 0.38134004716687064000 0.38148054461812958000-1.72964813943550410000
