
main(40, .6, .5)
52: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
53: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
54: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
55: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
56: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
57: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
58: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
59: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
60: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
61: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
62: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
63: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
64: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
65: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
66: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
67: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
68: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
69: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
70: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
71: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
72: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
73: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
74: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
75: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
76: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
77: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
78: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
79: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
80: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
81: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
82: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
83: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
84: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
85: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
86: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
