70: Viorest: 6.5143e-05, aptitud: 0.00000000000000000000, vector: 0.32849072200967333000 0.15414938660411001000 0.42480136288371229000 0.2503948844995918000017.86689686977327100000 , tt: 52.053
71: Viorest: 6.5143e-05, aptitud: 0.00000000000000000000, vector: 0.32849072200967333000 0.15414938660411001000 0.42480136288371229000 0.2503948844995918000017.86689686977327100000 , tt: 52.9897
72: Viorest: 6.5143e-05, aptitud: 0.00000000000000000000, vector: 0.32849072200967333000 0.15414938660411001000 0.42480136288371229000 0.2503948844995918000017.86689686977327100000 , tt: 53.7923
73: Viorest: 6.5143e-05, aptitud: 0.00000000000000000000, vector: 0.32849072200967333000 0.15414938660411001000 0.42480136288371229000 0.2503948844995918000017.86689686977327100000 , tt: 54.9323
74: Viorest: 6.5143e-05, aptitud: 0.00000000000000000000, vector: 0.32849072200967333000 0.15414938660411001000 0.42480136288371229000 0.2503948844995918000017.86689686977327100000 , tt: 55.7801
75: Viorest: 6.5143e-05, aptitud: 0.00000000000000000000, vector: 0.32849072200967333000 0.15414938660411001000 0.42480136288371229000 0.2503948844995918000017.86689686977327100000 , tt: 56.9532
76: Viorest: 6.5143e-05, aptitud: 0.00000000000000000000, vector: 0.32849072200967333000 0.15414938660411001000 0.42480136288371229000 0.2503948844995918000017.86689686977327100000 , tt: 57.8935
77: Viorest: 6.5143e-05, aptitud: 0.00000000000000000000, vector: 0.32849072200967333000 0.15414938660411001000 0.42480136288371229000 0.2503948844995918000017.86689686977327100000 , tt: 58.693
78: Viorest: 6.5143e-05, aptitud: 0.00000000000000000000, vector: 0.32849072200967333000 0.15414938660411001000 0.42480136288371229000 0.2503948844995918000017.86689686977327100000 , tt: 59.5232
79: Viorest: 6.5143e-05, aptitud: 0.00000000000000000000, vector: 0.32849072200967333000 0.15414938660411001000 0.42480136288371229000 0.2503948844995918000017.86689686977327100000 , tt: 60.4383
80: Viorest: 6.5143e-05, aptitud: 0.00000000000000000000, vector: 0.32849072200967333000 0.15414938660411001000 0.42480136288371229000 0.2503948844995918000017.86689686977327100000 , tt: 61.2986
81: Viorest: 6.5143e-05, aptitud: 0.00000000000000000000, vector: 0.32849072200967333000 0.15414938660411001000 0.42480136288371229000 0.2503948844995918000017.86689686977327100000 , tt: 62.1519
82: Viorest: 6.5143e-05, aptitud: 0.00000000000000000000, vector: 0.32849072200967333000 0.15414938660411001000 0.42480136288371229000 0.2503948844995918000017.86689686977327100000 , tt: 62.8882
83: Viorest: 6.5143e-05, aptitud: 0.00000000000000000000, vector: 0.32849072200967333000 0.15414938660411001000 0.42480136288371229000 0.2503948844995918000017.86689686977327100000 , tt: 63.7369
84: Viorest: 6.5143e-05, aptitud: 0.00000000000000000000, vector: 0.32849072200967333000 0.15414938660411001000 0.42480136288371229000 0.2503948844995918000017.86689686977327100000 , tt: 64.9123
85: Viorest: 6.5143e-05, aptitud: 0.00000000000000000000, vector: 0.32849072200967333000 0.15414938660411001000 0.42480136288371229000 0.2503948844995918000017.86689686977327100000 , tt: 65.9975
86: Viorest: 6.5143e-05, aptitud: 0.00000000000000000000, vector: 0.32849072200967333000 0.15414938660411001000 0.42480136288371229000 0.2503948844995918000017.86689686977327100000 , tt: 67.0063
87: Viorest: 6.5143e-05, aptitud: 0.00000000000000000000, vector: 0.32849072200967333000 0.15414938660411001000 0.42480136288371229000 0.2503948844995918000017.86689686977327100000 , tt: 67.8869
88: Viorest: 6.5143e-05, aptitud: 0.00000000000000000000, vector: 0.32849072200967333000 0.15414938660411001000 0.42480136288371229000 0.2503948844995918000017.86689686977327100000 , tt: 68.7078
89: Viorest: 6.5143e-05, aptitud: 0.00000000000000000000, vector: 0.32849072200967333000 0.15414938660411001000 0.42480136288371229000 0.2503948844995918000017.86689686977327100000 , tt: 69.4474
90: Viorest: 6.5143e-05, aptitud: 0.00000000000000000000, vector: 0.32849072200967333000 0.15414938660411001000 0.42480136288371229000 0.2503948844995918000017.86689686977327100000 , tt: 70.4206
91: Viorest: 6.5143e-05, aptitud: 0.00000000000000000000, vector: 0.32849072200967333000 0.15414938660411001000 0.42480136288371229000 0.2503948844995918000017.86689686977327100000 , tt: 71.4348
92: Viorest: 6.5143e-05, aptitud: 0.00000000000000000000, vector: 0.32849072200967333000 0.15414938660411001000 0.42480136288371229000 0.2503948844995918000017.86689686977327100000 , tt: 72.1937
93: Viorest: 6.5143e-05, aptitud: 0.00000000000000000000, vector: 0.32849072200967333000 0.15414938660411001000 0.42480136288371229000 0.2503948844995918000017.86689686977327100000 , tt: 73.1339
94: Viorest: 6.5143e-05, aptitud: 0.00000000000000000000, vector: 0.32849072200967333000 0.15414938660411001000 0.42480136288371229000 0.2503948844995918000017.86689686977327100000 , tt: 74.309
95: Viorest: 6.5143e-05, aptitud: 0.00000000000000000000, vector: 0.32849072200967333000 0.15414938660411001000 0.42480136288371229000 0.2503948844995918000017.86689686977327100000 , tt: 75.3893
96: Viorest: 6.5143e-05, aptitud: 0.00000000000000000000, vector: 0.32849072200967333000 0.15414938660411001000 0.42480136288371229000 0.2503948844995918000017.86689686977327100000 , tt: 76.2613
