30: Viorest: 2.2343e-05, aptitud: 0.00000000000000000000, vector: 0.36868420005412106000 0.15784026854603506000 0.41183616444781779000 0.20096988964918572000-2.40400359875436640000 , tt: 25.1415
31: Viorest: 2.2343e-05, aptitud: 0.00000000000000000000, vector: 0.36868420005412106000 0.15784026854603506000 0.41183616444781779000 0.20096988964918572000-2.40400359875436640000 , tt: 25.8929
32: Viorest: 2.2343e-05, aptitud: 0.00000000000000000000, vector: 0.36868420005412106000 0.15784026854603506000 0.41183616444781779000 0.20096988964918572000-2.40400359875436640000 , tt: 26.6634
33: Viorest: 2.2343e-05, aptitud: 0.00000000000000000000, vector: 0.36868420005412106000 0.15784026854603506000 0.41183616444781779000 0.20096988964918572000-2.40400359875436640000 , tt: 27.3164
34: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 28.1095
35: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 29.0251
36: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 29.8123
37: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 30.6406
38: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 31.4117
39: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 32.2411
40: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 33.2941
41: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 34.2806
42: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 35.0111
43: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 35.8126
44: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 36.7722
45: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 37.5907
46: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 38.4781
47: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 39.3298
48: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 40.0794
49: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 40.8584
50: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 41.7661
51: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 42.6175
52: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 43.5215
53: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 44.3858
54: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 45.4685
55: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 46.3029
56: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 47.3307
57: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 48.1684
58: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 48.9001
59: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 49.8615
60: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 50.4831
61: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 51.4065
62: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 52.2719
63: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 53.1066
64: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 53.8694
