74: Viorest: 4.678e-05, aptitud: 0.00000000000000000000, vector: 0.34089566999157683000 0.14776020777149562000 0.37770085106861695000 0.18451860843288156000-2.93499818296596080000 , tt: 63.5811
75: Viorest: 4.678e-05, aptitud: 0.00000000000000000000, vector: 0.34089566999157683000 0.14776020777149562000 0.37770085106861695000 0.18451860843288156000-2.93499818296596080000 , tt: 64.5734
76: Viorest: 4.678e-05, aptitud: 0.00000000000000000000, vector: 0.34089566999157683000 0.14776020777149562000 0.37770085106861695000 0.18451860843288156000-2.93499818296596080000 , tt: 65.3207
77: Viorest: 4.678e-05, aptitud: 0.00000000000000000000, vector: 0.34089566999157683000 0.14776020777149562000 0.37770085106861695000 0.18451860843288156000-2.93499818296596080000 , tt: 66.1758
78: Viorest: 4.678e-05, aptitud: 0.00000000000000000000, vector: 0.34089566999157683000 0.14776020777149562000 0.37770085106861695000 0.18451860843288156000-2.93499818296596080000 , tt: 67.0601
79: Viorest: 4.678e-05, aptitud: 0.00000000000000000000, vector: 0.34089566999157683000 0.14776020777149562000 0.37770085106861695000 0.18451860843288156000-2.93499818296596080000 , tt: 67.9654
80: Viorest: 4.678e-05, aptitud: 0.00000000000000000000, vector: 0.34089566999157683000 0.14776020777149562000 0.37770085106861695000 0.18451860843288156000-2.93499818296596080000 , tt: 68.6192
81: Viorest: 4.678e-05, aptitud: 0.00000000000000000000, vector: 0.34089566999157683000 0.14776020777149562000 0.37770085106861695000 0.18451860843288156000-2.93499818296596080000 , tt: 69.3488
82: Viorest: 4.678e-05, aptitud: 0.00000000000000000000, vector: 0.34089566999157683000 0.14776020777149562000 0.37770085106861695000 0.18451860843288156000-2.93499818296596080000 , tt: 70.2501
83: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 71.2799
84: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 72.1375
85: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 73.0451
86: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 73.9157
87: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 74.7223
88: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 75.6327
89: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 76.2785
90: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 77.131
91: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 78.071
92: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 78.9287
93: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 79.7372
94: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 80.5293
95: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 81.2919
96: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 82.0081
97: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 82.7873
98: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 83.4885
99: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 84.5827
100: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 85.3485
101: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 86.2231
102: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 86.9865
103: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 87.7934
104: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 88.6319
105: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 89.4393
106: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 90.2778
107: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 91.2569
108: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 92.2204
109: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 93.1128
110: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 94.0915
111: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 94.912
112: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 95.6991
113: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 96.5615
114: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 97.5787
115: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 98.5069
116: Viorest: 1.4435e-05, aptitud: 0.00000000000000000000, vector: 0.27521063235471477000 0.23935400716105404000 0.27620641510819149000 0.27622085056844192000-8.55620891622508490000 , tt: 99.4228
