137: Viorest: 1.3302e-05, aptitud: 0.00000000000000000000, vector: 0.23847781431904971000 0.07829858266151648600 0.44282441843995174000 0.4428377207259389100012.47722063918607200000 , tt: 122.6496
138: Viorest: 1.3302e-05, aptitud: 0.00000000000000000000, vector: 0.23847781431904971000 0.07829858266151648600 0.44282441843995174000 0.4428377207259389100012.47722063918607200000 , tt: 123.762
139: Viorest: 1.3302e-05, aptitud: 0.00000000000000000000, vector: 0.23847781431904971000 0.07829858266151648600 0.44282441843995174000 0.4428377207259389100012.47722063918607200000 , tt: 125.0191
140: Viorest: 1.3302e-05, aptitud: 0.00000000000000000000, vector: 0.23847781431904971000 0.07829858266151648600 0.44282441843995174000 0.4428377207259389100012.47722063918607200000 , tt: 126.2017
141: Viorest: 1.3302e-05, aptitud: 0.00000000000000000000, vector: 0.23847781431904971000 0.07829858266151648600 0.44282441843995174000 0.4428377207259389100012.47722063918607200000 , tt: 127.2314
142: Viorest: 1.3302e-05, aptitud: 0.00000000000000000000, vector: 0.23847781431904971000 0.07829858266151648600 0.44282441843995174000 0.4428377207259389100012.47722063918607200000 , tt: 128.3536
143: Viorest: 1.3302e-05, aptitud: 0.00000000000000000000, vector: 0.23847781431904971000 0.07829858266151648600 0.44282441843995174000 0.4428377207259389100012.47722063918607200000 , tt: 129.5002
144: Viorest: 1.3302e-05, aptitud: 0.00000000000000000000, vector: 0.23847781431904971000 0.07829858266151648600 0.44282441843995174000 0.4428377207259389100012.47722063918607200000 , tt: 130.6421
145: Viorest: 1.3302e-05, aptitud: 0.00000000000000000000, vector: 0.23847781431904971000 0.07829858266151648600 0.44282441843995174000 0.4428377207259389100012.47722063918607200000 , tt: 131.5935
146: Viorest: 1.3302e-05, aptitud: 0.00000000000000000000, vector: 0.23847781431904971000 0.07829858266151648600 0.44282441843995174000 0.4428377207259389100012.47722063918607200000 , tt: 132.4351
147: Viorest: 1.3302e-05, aptitud: 0.00000000000000000000, vector: 0.23847781431904971000 0.07829858266151648600 0.44282441843995174000 0.4428377207259389100012.47722063918607200000 , tt: 133.4131
148: Viorest: 1.3302e-05, aptitud: 0.00000000000000000000, vector: 0.23847781431904971000 0.07829858266151648600 0.44282441843995174000 0.4428377207259389100012.47722063918607200000 , tt: 134.2893
