53: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 44.1117
54: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 44.9325
55: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 45.8329
56: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 46.763
57: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 47.6271
58: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 48.4359
59: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 49.2462
60: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 50.0582
61: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 50.8477
62: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 51.829
63: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 52.7984
64: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 53.7098
65: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 54.5008
66: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 55.2782
67: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 56.0865
68: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 56.9304
69: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 57.7692
70: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 58.5418
71: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 59.2601
72: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 60.0568
73: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 61.0679
74: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 62.3578
75: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 63.5294
76: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 64.7591
77: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 65.9505
78: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 66.8844
79: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 67.6411
80: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 68.6128
81: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 69.6301
82: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 70.7465
83: Viorest: 8.2619e-06, aptitud: 0.00000000000000000000, vector: 0.46523703400455241000 0.20028903204436432000 0.46522877209511715000 0.4405120985378139800028.42836385774209200000 , tt: 71.6011
