44: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 26.5008
45: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 27.2936
46: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 27.8671
47: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 28.4011
48: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 28.9114
49: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 29.4697
50: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 30.0806
51: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 30.5963
52: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 31.3089
53: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 32.1123
54: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 32.538
55: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 33.0959
56: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 33.5629
57: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 34.1638
58: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 34.8548
59: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 35.746
60: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 36.2307
61: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 36.6908
62: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 37.2129
63: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 37.6972
