5503: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5504: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5505: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5506: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5507: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5508: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5509: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5510: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5511: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5512: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5513: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5514: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5515: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5516: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5517: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5518: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5519: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5520: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5521: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5522: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5523: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5524: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
