main( 50, .9, .4)
35: Viorest: 2.9637e-08, aptitud: 1000.00000000000000000000, vector: 0.49610425811379366000  0.35163376770019766000  0.49610422847651559000  0.48724227464703695000-21.77653933660957700000
36: Viorest: 2.9637e-08, aptitud: 1000.00000000000000000000, vector: 0.49610425811379366000  0.35163376770019766000  0.49610422847651559000  0.48724227464703695000-21.77653933660957700000
37: Viorest: 2.9637e-08, aptitud: 1000.00000000000000000000, vector: 0.49610425811379366000  0.35163376770019766000  0.49610422847651559000  0.48724227464703695000-21.77653933660957700000
38: Viorest: 2.9637e-08, aptitud: 1000.00000000000000000000, vector: 0.49610425811379366000  0.35163376770019766000  0.49610422847651559000  0.48724227464703695000-21.77653933660957700000
39: Viorest: 2.9637e-08, aptitud: 1000.00000000000000000000, vector: 0.49610425811379366000  0.35163376770019766000  0.49610422847651559000  0.48724227464703695000-21.77653933660957700000
40: Viorest: 2.9637e-08, aptitud: 1000.00000000000000000000, vector: 0.49610425811379366000  0.35163376770019766000  0.49610422847651559000  0.48724227464703695000-21.77653933660957700000
41: Viorest: 2.9637e-08, aptitud: 1000.00000000000000000000, vector: 0.49610425811379366000  0.35163376770019766000  0.49610422847651559000  0.48724227464703695000-21.77653933660957700000
42: Viorest: 2.9637e-08, aptitud: 1000.00000000000000000000, vector: 0.49610425811379366000  0.35163376770019766000  0.49610422847651559000  0.48724227464703695000-21.77653933660957700000
43: Viorest: 2.9637e-08, aptitud: 1000.00000000000000000000, vector: 0.49610425811379366000  0.35163376770019766000  0.49610422847651559000  0.48724227464703695000-21.77653933660957700000
44: Viorest: 2.9637e-08, aptitud: 1000.00000000000000000000, vector: 0.49610425811379366000  0.35163376770019766000  0.49610422847651559000  0.48724227464703695000-21.77653933660957700000
45: Viorest: 2.9637e-08, aptitud: 1000.00000000000000000000, vector: 0.49610425811379366000  0.35163376770019766000  0.49610422847651559000  0.48724227464703695000-21.77653933660957700000
46: Viorest: 2.9637e-08, aptitud: 1000.00000000000000000000, vector: 0.49610425811379366000  0.35163376770019766000  0.49610422847651559000  0.48724227464703695000-21.77653933660957700000
47: Viorest: 2.9637e-08, aptitud: 1000.00000000000000000000, vector: 0.49610425811379366000  0.35163376770019766000  0.49610422847651559000  0.48724227464703695000-21.77653933660957700000
48: Viorest: 2.9637e-08, aptitud: 1000.00000000000000000000, vector: 0.49610425811379366000  0.35163376770019766000  0.49610422847651559000  0.48724227464703695000-21.77653933660957700000
49: Viorest: 2.9637e-08, aptitud: 1000.00000000000000000000, vector: 0.49610425811379366000  0.35163376770019766000  0.49610422847651559000  0.48724227464703695000-21.77653933660957700000
50: Viorest: 2.9637e-08, aptitud: 1000.00000000000000000000, vector: 0.49610425811379366000  0.35163376770019766000  0.49610422847651559000  0.48724227464703695000-21.77653933660957700000
51: Viorest: 2.9637e-08, aptitud: 1000.00000000000000000000, vector: 0.49610425811379366000  0.35163376770019766000  0.49610422847651559000  0.48724227464703695000-21.77653933660957700000
52: Viorest: 2.9637e-08, aptitud: 1000.00000000000000000000, vector: 0.49610425811379366000  0.35163376770019766000  0.49610422847651559000  0.48724227464703695000-21.77653933660957700000
53: Viorest: 2.9637e-08, aptitud: 1000.00000000000000000000, vector: 0.49610425811379366000  0.35163376770019766000  0.49610422847651559000  0.48724227464703695000-21.77653933660957700000
54: Viorest: 2.9637e-08, aptitud: 1000.00000000000000000000, vector: 0.49610425811379366000  0.35163376770019766000  0.49610422847651559000  0.48724227464703695000-21.77653933660957700000
55: Viorest: 2.9637e-08, aptitud: 1000.00000000000000000000, vector: 0.49610425811379366000  0.35163376770019766000  0.49610422847651559000  0.48724227464703695000-21.77653933660957700000
56: Viorest: 2.9637e-08, aptitud: 1000.00000000000000000000, vector: 0.49610425811379366000  0.35163376770019766000  0.49610422847651559000  0.48724227464703695000-21.77653933660957700000
57: Viorest: 2.9637e-08, aptitud: 1000.00000000000000000000, vector: 0.49610425811379366000  0.35163376770019766000  0.49610422847651559000  0.48724227464703695000-21.77653933660957700000
58: Viorest: 5.5041e-09, aptitud: 1000.00000000000000000000, vector: 0.46782739164748377000  0.19548663173711028000  0.46782738614335329000  0.32221435836828105000-29.91999303948112000000
59: Viorest: 5.5041e-09, aptitud: 1000.00000000000000000000, vector: 0.46782739164748377000  0.19548663173711028000  0.46782738614335329000  0.32221435836828105000-29.91999303948112000000
60: Viorest: 5.5041e-09, aptitud: 1000.00000000000000000000, vector: 0.46782739164748377000  0.19548663173711028000  0.46782738614335329000  0.32221435836828105000-29.91999303948112000000
61: Viorest: 5.5041e-09, aptitud: 1000.00000000000000000000, vector: 0.46782739164748377000  0.19548663173711028000  0.46782738614335329000  0.32221435836828105000-29.91999303948112000000
62: Viorest: 4.015e-10, aptitud: 1000.00000000000000000000, vector: 0.49299015077185276000  0.27126389588135902000  0.49299015037035132000  0.39250127790158212000-43.34552951579093600000
63: Viorest: 4.015e-10, aptitud: 1000.00000000000000000000, vector: 0.49299015077185276000  0.27126389588135902000  0.49299015037035132000  0.39250127790158212000-43.34552951579093600000
64: Viorest: 4.015e-10, aptitud: 1000.00000000000000000000, vector: 0.49299015077185276000  0.27126389588135902000  0.49299015037035132000  0.39250127790158212000-43.34552951579093600000
65: Viorest: 4.015e-10, aptitud: 1000.00000000000000000000, vector: 0.49299015077185276000  0.27126389588135902000  0.49299015037035132000  0.39250127790158212000-43.34552951579093600000
